model,variable,n,pearson_r,spearman_rho,linear_slope,linear_intercept,abs_pearson_r,abs_spearman_rho
mond_simple_btfr,SBdisk,87,-0.09774689838660702,-0.25305854645305786,-1.9017451455979143e-06,-0.03358077515486774,0.09774689838660702,0.25305854645305786
mond_simple_btfr,M_star_Msun,87,-0.17011428428281103,-0.16654516293650212,-1.8549204857572287e-13,-0.029602675862872796,0.17011428428281103,0.16654516293650212
mond_simple_btfr,M_gas_Msun,87,0.05134713440128341,0.145587096192312,2.8951030437689203e-13,-0.039399148470522935,0.05134713440128341,0.145587096192312
mond_simple_btfr,RHI,87,0.03366583925603314,0.10634807809738357,0.00013993894274836935,-0.03981290600094247,0.03366583925603314,0.10634807809738357
mond_simple_btfr,H_halo,87,0.10480959642337444,0.10194931251527417,0.14050345521268748,-0.212279343111242,0.10480959642337444,0.10194931251527417
mond_simple_btfr,r_over_Rdisk_eval,87,0.07199344883084541,0.10194931251527417,0.0024304712685329346,-0.04695008662962546,0.07199344883084541,0.10194931251527417
mond_simple_btfr,M_baryon_Msun,87,-0.13823653941326317,-0.09387985711161331,-1.300800046420039e-13,-0.0306965941767371,0.13823653941326317,0.09387985711161331
mond_simple_btfr,log10_M_baryon_Msun,87,-0.13017271137850456,-0.09387985711161331,-0.009766567199907698,0.061831733216860175,0.13017271137850456,0.09387985711161331
mond_simple_btfr,Reff,87,0.00782338066238637,0.08077752010370934,0.00017905748797385462,-0.037736416873652825,0.00782338066238637,0.08077752010370934
mond_simple_btfr,Rdisk,87,-0.027214734661770188,-0.01817104843562031,-0.0006949515693163967,-0.03458662927741002,0.027214734661770188,0.01817104843562031
newtonian_outer,log10_M_baryon_Msun,87,0.6373356740777045,0.6520922942334328,0.07838361720881036,-1.0361689177791027,0.6373356740777045,0.6520922942334328
newtonian_outer,M_baryon_Msun,87,0.5059643829279826,0.6520922942334328,7.804457460434401e-13,-0.2808957594046208,0.5059643829279826,0.6520922942334328
newtonian_outer,star_frac,87,0.6092332384405329,0.6501786104833418,0.2254210139397219,-0.37572505725550026,0.6092332384405329,0.6501786104833418
newtonian_outer,gas_frac,87,-0.6092332384405329,-0.6501786104833418,-0.2254210139397222,-0.15030404331577846,0.6092332384405329,0.6501786104833418
newtonian_outer,stellar_to_gas_ratio,87,0.39479290981268755,0.6501786104833418,0.0042633050202645325,-0.2637736926933829,0.39479290981268755,0.6501786104833418
newtonian_outer,M_star_Msun,87,0.5161301112140116,0.6445833637092657,9.225263787250833e-13,-0.27991887671516685,0.5161301112140116,0.6445833637092657
newtonian_outer,log10_SBeff,87,0.6095405195459833,0.6295371494975663,0.08657796026848087,-0.43451762432258456,0.6095405195459833,0.6295371494975663
