object_name,canonical_name,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,RHI_over_Rdisk,direct_hi_extent_overlap,m51_primary_score,m54_organization_score,organization_label_settled,organization_label_score,quality_quarantine_flag,quality_measurement_limited_flag,taxonomy_stage,branch_role
NGC3893,NGC3893,174.0,8.9,58.525,5.799,2.38,20.84,8.756302521008404,True,1.0,0.75,1,0.5836879317079248,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC3917,NGC3917,135.9,4.1,21.966,1.888,2.63,14.08,5.353612167300381,True,0.7675428417901886,0.6337714208950943,1,0.8069742744447722,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC3953,NGC3953,220.8,6.1,141.301,2.832,4.89,17.38,3.554192229038855,True,0.9899496598299397,0.7449748299149699,1,0.8301717168479605,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC3972,NGC3972,132.7,2.9,14.353,1.214,2.18,10.05,4.610091743119266,True,0.7257610080544021,0.6128805040272011,1,0.8184681126377343,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC3992,NGC3992,241.0,5.2,226.932,16.599,4.96,32.75,6.602822580645161,True,1.0,0.75,1,0.7116682643074945,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC4088,NGC4088,171.7,6.9,107.286,8.226,2.58,22.25,8.624031007751938,True,1.0,0.75,0,0.5662844556272452,False,False,true_falsifier_candidate,physical_ordering_candidate_or_control
NGC4100,NGC4100,158.2,5.0,59.394,3.102,2.15,18.06,8.4,True,1.0,0.75,1,0.6030037652935188,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC4157,NGC4157,184.7,7.2,105.62,8.226,2.32,24.09,10.383620689655173,True,1.0,0.75,1,0.5868819063328693,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC4183,NGC4183,110.6,5.4,10.838,3.506,2.79,16.07,5.759856630824372,True,0.351364552237024,0.425682276118512,1,0.7349289448337464,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC4217,NGC4217,181.3,7.2,85.299,2.562,2.94,16.7,5.680272108843537,True,1.0,0.75,1,0.7797598914259906,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC4559,NGC4559,121.2,5.1,19.377,5.811,2.1,21.16,10.076190476190476,True,1.0,0.75,0,0.5270304267120406,False,False,true_falsifier_candidate,physical_ordering_candidate_or_control
NGC5005,NGC5005,262.2,20.7,178.72,1.28,9.45,10.41,1.1015873015873017,True,0.8936337039666468,0.6968168519833234,1,0.7951818389787029,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC5033,NGC5033,194.2,3.6,110.509,11.314,5.16,29.53,5.722868217054264,True,0.8186458227180256,0.6593229113590128,1,0.7917010105796597,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC5055,NGC5055,179.0,4.9,152.922,11.722,3.2,35.06,10.95625,True,1.0,0.75,0,0.4531865217387902,False,False,true_falsifier_candidate,physical_ordering_candidate_or_control
NGC5371,NGC5371,209.5,3.9,340.393,11.18,7.44,30.03,4.036290322580645,True,0.9553488115949108,0.7276744057974555,1,0.8024853474823893,False,False,true_falsifier_candidate,physical_ordering_candidate_or_control
NGC5585,NGC5585,90.3,2.4,2.943,1.683,1.53,10.92,7.137254901960784,True,0.7089720417579096,0.6044860208789549,0,0.510926035600268,False,False,juvenile_forming,physical_ordering_candidate_or_control
NGC5985,NGC5985,293.6,8.6,208.728,11.586,7.01,39.5,5.634807417974322,True,0.922742285624894,0.7113711428124471,1,0.8040413217746091,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC6195,NGC6195,251.7,9.3,391.076,20.907,13.94,40.89,2.9332855093256818,True,0.7452045208750374,0.6226022604375188,1,0.8031363424658143,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC6503,NGC6503,116.3,2.4,12.845,1.744,2.16,14.05,6.50462962962963,True,0.9677920314425682,0.7338960157212842,1,0.7037388631066879,False,False,mature_or_control,physical_ordering_candidate_or_control
