galaxy_name,T,Vflat,e_Vflat,RHI,SBeff,SBdisk,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,A_gov_star_sigma_gas,v_newton_km_s,v_bdvr_full_km_s,A_implied,distance_to_half_activation,log10_velocity_error_full_bdvr,claim_boundary
NGC5585,7.0,90.3,2.4,10.92,90.54,297.05,3709890000.0000005,1471500000.0,2238390000.0000005,1.53,0.39664248805220637,0.6033575119477936,252230907.69669428,8.401798302775038,0.28754310030363534,0.10629992099682432,transition,0.10629992099682432,83.3827630566897,88.71654468107285,1.0,0.5,-0.007683131680584954,diagnostic_governor_hypothesis_not_accepted_model
NGC7331,3.0,239.0,5.4,27.01,2470.76,1806.47,140034610000.0,125315500000.0,14719110000.0,5.02,0.894889484820931,0.10511051517906894,884398675.6339487,8.946648083561472,0.9731565979129682,0.9619104405676248,mature,0.9619104405676248,217.31282111774829,225.83199038228528,1.0,0.5,-0.02461243872488646,diagnostic_governor_hypothesis_not_accepted_model
NGC7814,2.0,218.9,7.0,12.15,2709.13,2635.3,38687600000.0,37264500000.0,1423100000.0000002,2.54,0.9632156039661287,0.036784396033871326,954386939.1099899,8.979724487335302,0.9784542159534912,0.9727115043853686,mature,0.9727115043853686,157.5503783519389,164.05744615059405,1.0,0.5,-0.1252498148755768,diagnostic_governor_hypothesis_not_accepted_model
NGC6674,3.0,241.3,4.9,50.02,560.83,1370.35,150106450000.0,107327000000.0,42779450000.00001,6.04,0.7150059174672374,0.28499408253276265,654855694.5823767,8.816145608463174,0.9247403868674138,0.8637210573270883,mature,0.8637210573270883,221.11914261914083,227.9785275983578,1.0,0.5,-0.024663377472768287,diagnostic_governor_hypothesis_not_accepted_model
UGC00128,8.0,129.3,2.8,31.27,20.36,88.89,15893230000.000002,6010000000.0,9883230000.000002,5.95,0.378148431753646,0.621851568246354,71449364.20299143,7.85399836854531,0.10628492980359623,0.034831689061957195,transition,0.034831689061957195,87.5163270533972,127.63430048930859,1.0,0.5,-0.005631122349429894,diagnostic_governor_hypothesis_not_accepted_model
NGC6946,6.0,158.9,10.9,21.25,571.26,2232.7,40627600000.0,33086500000.0,7541100000.0,2.44,0.8143848024495663,0.1856151975504337,1086079576.3840847,9.035861646908801,0.9721135048256384,0.9473391476584626,mature,0.9473391476584626,159.48938934178565,166.6464867800681,0.0,0.5,0.02067226514492633,diagnostic_governor_hypothesis_not_accepted_model
ESO563-G021,4.0,314.6,11.7,55.71,429.37,6558.89,187904840000.0,155588500000.0,32316339999.999996,5.45,0.8280175220606345,0.17198247793936547,1006850740.4054103,9.00296509376827,0.9718101743457644,0.9501294620596823,mature,0.9501294620596823,233.88964509869035,243.89540442434864,1.0,0.5,-0.1105551010483615,diagnostic_governor_hypothesis_not_accepted_model
F568-V1,7.0,112.3,15.8,14.38,31.39,90.54,5225530000.0,1912500000.0,3313030000.0000005,2.85,0.36599158362883766,0.6340084163711625,102390757.74392019,8.010260757011247,0.1364186719401666,0.041132556680115534,transition,0.041132556680115534,72.5077158237496,96.648906959986,1.0,0.5,-0.06518280947402885,diagnostic_governor_hypothesis_not_accepted_model
F579-V1,5.0,112.1,13.4,20.96,56.6,201.76,8909850000.0,5924000000.0,2985850000.0,3.37,0.6648821248393632,0.33511787516063685,124862125.20206426,8.096430722519624,0.5532698359737562,0.49548554623576685,transition,0.49548554623576685,87.068633236026,110.44141406301956,1.0,0.5,-0.006473653999035788,diagnostic_governor_hypothesis_not_accepted_model
F571-8,5.0,139.7,4.3,24.55,825.71,87.26,7452060000.0,5082000000.0,2370060000.0,3.56,0.6819590824550527,0.3180409175449473,93582895.56380108,7.971196478641222,0.44379251438949474,0.4040671367153705,transition,0.4040671367153705,77.4737635436703,105.61690728911003,1.0,0.5,-0.12146295993707698,diagnostic_governor_hypothesis_not_accepted_model
IC4202,4.0,242.6,11.0,32.13,391.59,8888.53,106268080000.0,89874500000.0,16393580000.0,4.78,0.8457337330268883,0.15426626697311177,740230835.6333476,8.869367172445768,0.9617094735606553,0.9436721794762768,mature,0.9436721794762768,202.82767468835735,209.79139152267092,1.0,0.5,-0.06310313293471571,diagnostic_governor_hypothesis_not_accepted_model
NGC0024,5.0,106.3,7.9,7.29,151.65,1182.58,2843580000.0,1944500000.0,899080000.0000001,1.34,0.6838210987557938,0.3161789012442063,252043780.95191115,8.401475985917836,0.7853626911934626,0.7162449635294088,mature,0.7162449635294088,78.00488619946532,83.0100591249191,1.0,0.5,-0.10740254133107215,diagnostic_governor_hypothesis_not_accepted_model
UGC04278,7.0,91.4,4.8,8.9,34.11,377.42,2137780000.0000002,653500000.0,1484280000.0000002,2.21,0.30569095042520744,0.6943090495747926,69662425.8805086,7.842998593983464,0.05232288882815211,0.009997189107437018,transition,0.009997189107437018,52.66557732133028,77.29566054300169,1.0,0.5,-0.07279108286504826,diagnostic_governor_hypothesis_not_accepted_model
UGC04325,9.0,90.9,2.7,6.61,41.0,213.22,1914740000.0,1012999999.9999999,901740000.0000001,1.86,0.5290535529628043,0.47094644703719574,88085424.828239,7.944904053243674,0.3208655487926966,0.2207382695313109,transition,0.2207382695313109,54.33002616537036,75.19549333444107,1.0,0.5,-0.08237207027172883,diagnostic_governor_hypothesis_not_accepted_model
UGC03205,2.0,219.6,8.6,28.6,587.26,3915.89,69691410000.0,56821000000.0,12870410000.0,3.19,0.8153228640373326,0.1846771359626674,1089978714.0991092,9.037418016803409,0.9723433771221337,0.9477886857228248,mature,0.9477886857228248,182.5245624593397,190.73346525301315,1.0,0.5,-0.06120543665114407,diagnostic_governor_hypothesis_not_accepted_model
UGC03546,1.0,196.9,7.4,18.37,2403.42,922.21,54225750000.0,50668000000.0,3557750000.0,3.79,0.9343900268783742,0.0656099731216258,600824009.5352541,8.778747279189737,0.9546529684984819,0.9471926194434268,mature,0.9471926194434268,171.42647505970544,176.349816136099,1.0,0.5,-0.047870704933698244,diagnostic_governor_hypothesis_not_accepted_model
