gate_name,xcol,placement,xcrit,k,median_abs_log10_error,mean_abs_log10_error,max_abs_log10_error,frac_within_010_dex,frac_within_015_dex,n_above_020_dex,delta_median_abs_vs_base,delta_frac010_vs_base,target_A,target_new_log10_error,target_new_abs_log10_error
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.47847740168307,1.0,0.0742310643643112,0.08100602730104355,0.25106597895446436,0.6666666666666666,0.8620689655172413,3,0.03261716489495631,-0.28735632183908044,0.38729375770438806,0.1291502540985092,0.1291502540985092
stellar_fraction_source_gate,star_frac,source,0.5983732945942856,4.0,0.07492464337999892,0.09634305348031873,0.28086748405719525,0.6091954022988506,0.7701149425287356,9,0.03331074391064402,-0.34482758620689646,0.15822386168878708,0.03195812477539258,0.03195812477539258
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.4016267054057144,4.0,0.07492464337999892,0.09634305348031873,0.28086748405719525,0.6091954022988506,0.7701149425287356,9,0.03331074391064402,-0.34482758620689646,0.1582238616887871,0.03195812477539258,0.03195812477539258
stellar_fraction_source_gate,star_frac,source,0.5171208904715713,20.0,0.07514122212365862,0.2235199632249226,1.010383101475662,0.5747126436781609,0.6091954022988506,33,0.03352732265430372,-0.3793103448275862,0.001190170191311923,-0.49895760299194186,0.49895760299194186
sigma_star_source_gate,log10_Sigma_star,source,8.011089018546985,4.0,0.07573821693163761,0.13122619032620644,0.6587836175062076,0.6091954022988506,0.7011494252873564,23,0.03412431746228271,-0.34482758620689646,0.05024130777752319,-0.09259463631961015,0.09259463631961015
sigma_star_source_gate,log10_Sigma_star,source,8.236418482395749,1.0,0.07707720294530582,0.08709752462211093,0.2645260610555632,0.6436781609195402,0.8620689655172413,4,0.03546330347595092,-0.31034482758620685,0.2768437465636472,0.0926988092915432,0.0926988092915432
stellar_fraction_source_gate,star_frac,source,0.5171208904715713,8.0,0.07944174222772923,0.11181817997645412,0.410511955121415,0.5747126436781609,0.735632183908046,16,0.037827842758374336,-0.3793103448275862,0.06338843374756975,-0.06735736495023183,0.06735736495023183
stellar_fraction_source_gate,star_frac,source,0.5171208904715713,12.0,0.08089861479339976,0.1471394276248998,0.6091185141940034,0.5402298850574713,0.6206896551724138,24,0.03928471532404486,-0.4137931034482758,0.01730198125115437,-0.2083359109345706,0.2083359109345706
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.47847740168307,4.0,0.08385922539921738,0.1286427251382396,0.6858284272235204,0.5632183908045977,0.6666666666666666,20,0.04224532592986248,-0.3908045977011494,0.13766643321342956,0.016847144914394607,0.016847144914394607
sigma_star_source_gate,log10_Sigma_star,source,8.236418482395749,2.0,0.08818993738677369,0.11006924143730883,0.40995803836882944,0.5862068965517241,0.735632183908046,14,0.046576037917418794,-0.367816091954023,0.12782319698772576,0.008792548671414935,0.008792548671414935
