quantum_family,template_name,bias,drive_scale,eq_scale,eq_reservoir,k_on,k_off,k_coherent,A0,Omega0,Delta0,gamma_phi,gamma_relax,w0,gas_c,gas_k,RHI_Rd_c,RHI_k,n_steps,tau_final,mse,rmse,spearman_A_pred_A_inferred,pearson_A_pred_A_inferred,prediction_min,prediction_max,prediction_std,rank_score
two_channel_master,gas_hi,0.8,1.2,0.8,0.8,1.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11371557723760542,0.33721740352123797,0.33290324143037303,0.31784591713042576,0.002954574572708225,0.6229667885247964,0.1627323474985202,-0.06938120554909977
two_channel_master,gas_hi,0.4,2.5,0.8,0.8,1.0,1.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10329343712290738,0.321392963710949,0.31335505504011424,0.3153129580216722,0.07266772438181497,0.7077207258296961,0.18668018287091476,-0.06905184314915545
two_channel_master,gas_hi,0.4,1.2,0.8,0.8,1.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11781120086441797,0.3432363629693363,0.33434517114543405,0.3109640091198025,0.004770326152932976,0.6916902822600138,0.18583430183121594,-0.06607864326557077
two_channel_master,gas_hi,0.4,2.5,0.8,0.8,1.0,1.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10257619747955946,0.3202751902342101,0.30607239736531194,0.30551884345477837,2.4049855496904586e-05,0.6352410581144983,0.1859928471350387,-0.06576362107136213
two_channel_master,dyn_early_hi,0.8,1.2,0.8,0.8,1.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11325724307462384,0.3365371347631994,0.3222986697284679,0.288263439078442,0.028623699515844085,0.6666228173561948,0.16832410595567118,-0.0640070252760335
bloch_lindblad,gas_hi,0.0,1.2,0.8,0.8,1.0,1.0,0.0,0.2,1.0,1.0,0.6,4.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10406014468081272,0.32258354682285445,0.3042928005650783,0.3045082489803299,0.01368060103586377,0.8231645385956307,0.1942755661882833,-0.06330089562998036
bloch_lindblad,gas_hi,0.0,1.2,0.8,0.8,1.0,1.0,0.0,0.2,1.0,1.0,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.10361827765702449,0.3218979304950942,0.30287824926232854,0.3005414103939581,0.04421164155972779,0.6197474887772246,0.13907734711767822,-0.06296475943725623
two_channel_master,gas_hi,0.4,2.5,0.8,0.8,1.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11683529979856117,0.34181179002275675,0.3259765031156174,0.31410021428484636,0.0029653553120761837,0.7039742840177371,0.20567063598078258,-0.0624517769150284
two_channel_master,dyn_early_hi,0.8,2.5,0.8,0.8,1.0,4.0,0.0,0.2,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11054388702456149,0.33248140853972796,0.3102886728612501,0.2819486205034946,0.005914864717525741,0.6995639707319777,0.17835703000875136,-0.060114883049126086
two_channel_master,gas_hi,0.4,2.5,0.8,0.8,1.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.11831457336661579,0.3439688552276438,0.32304701299830973,0.31371393126030783,9.302664550393488e-06,0.6323175945222015,0.18628726788591382,-0.059361283782454574
two_channel_master,gas_hi,0.4,1.2,0.8,0.8,1.0,4.0,0.0,0.0,1.0,0.5,0.6,1.0,-0.8,0.75,8.0,7.0,1.2,40,1.0,0.12111022033292625,0.3480089371451921,0.3280025056266526,0.31124527003178587,0.0018386121472403808,0.6170023655151659,0.1633730209353771,-0.0592911577617327
