f_star_c,k_star,log10_sigma_c,k_sigma,f_gas_c,k_gas,RHI_Rd_c,k_HI,drive_power,A0,lambda_seed,lambda_feedback,lambda_reservoir,disturbance_weight,failed_weight,n_steps,tau_final,n_primary_fit,n_mature_control,primary_fit_rmse,primary_fit_spearman,primary_cv_rmse,primary_cv_spearman,train_fit_rmse,train_fit_spearman,m37_static_primary_rmse,m37_static_primary_spearman,mature_control_median_A_pred,mature_control_fraction_A_pred_gt_0p5,ugc07125_A_pred,rank_score
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,2.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.3605155526565235,-0.42809591046497314,,,0.3605155526565235,-0.42809591046497314,0.5117710280218454,-0.3627661375280108,0.9985400612348456,1.0,0.8955826094403121,0.3733584299704727
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,4.0,10.0,1.75,0.4,0.4,80,1.0,41,46,0.3613247994780104,-0.43747931958600034,,,0.3613247994780104,-0.43747931958600034,0.5117710280218454,-0.3627661375280108,0.9957074124298422,1.0,0.7851000166032358,0.3744491790655904
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,4.0,10.0,1.75,0.4,0.4,80,1.0,41,46,0.36399639779210075,-0.43747931958600034,,,0.36399639779210075,-0.43747931958600034,0.5117710280218454,-0.3627661375280108,0.9957069807487162,1.0,0.7836766574754075,0.37712077737968075
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,4.0,4.0,1.25,0.4,0.4,80,1.0,41,46,0.36474860176106916,-0.42809591046497314,,,0.36474860176106916,-0.42809591046497314,0.5117710280218454,-0.3627661375280108,0.9939295451416144,1.0,0.7252066798641719,0.37759147907501833
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,4.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.37088233325112113,-0.2857513645535429,,,0.37088233325112113,-0.2857513645535429,0.5117710280218454,-0.3627661375280108,0.9942056232337086,0.9782608695652174,0.8814962421883421,0.37945487418772744
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,2.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.3684037005343969,-0.4054340922104171,,,0.3684037005343969,-0.4054340922104171,0.5117710280218454,-0.3627661375280108,0.9898047320274274,1.0,0.7109929204901148,0.38056672330070945
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,4.0,10.0,1.25,0.4,0.4,80,1.0,41,46,0.3716962249871487,-0.30310181915468737,,,0.3716962249871487,-0.30310181915468737,0.5117710280218454,-0.3627661375280108,0.9855967628263238,0.9782608695652174,0.7668149858214194,0.3807892795617893
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.1,2.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.37240821892514014,-0.28044000090013127,,,0.37240821892514014,-0.28044000090013127,0.5117710280218454,-0.3627661375280108,0.9930593940707088,0.9782608695652174,0.824038653792176,0.3808214189521441
0.25,8.0,8.0,4.0,0.75,8.0,7.0,1.0,0.35,0.05,4.0,4.0,0.5,0.4,0.4,80,1.0,41,46,0.3725309277040314,-0.2772531827080844,,,0.3725309277040314,-0.2772531827080844,0.5117710280218454,-0.3627661375280108,0.9871326119825081,0.9782608695652174,0.7590141315730569,0.38084852318527396
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,2.0,10.0,0.5,0.4,0.4,80,1.0,41,46,0.3681053318221223,-0.4266795468240634,,,0.3681053318221223,-0.4266795468240634,0.5117710280218454,-0.3627661375280108,0.9985314931117979,1.0,0.8873519219303688,0.3809057182268442
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.05,4.0,4.0,1.25,0.4,0.4,80,1.0,41,46,0.3683130814035271,-0.42809591046497314,,,0.3683130814035271,-0.42809591046497314,0.5117710280218454,-0.3627661375280108,0.9938501420225935,1.0,0.7212014007986591,0.38115595871747626
0.25,8.0,8.0,4.0,0.75,8.0,12.0,1.0,0.35,0.1,2.0,10.0,1.25,0.4,0.4,80,1.0,41,46,0.3691162067898865,-0.4337613650286122,,,0.3691162067898865,-0.4337613650286122,0.5117710280218454,-0.3627661375280108,0.9963936541324385,1.0,0.7895723158088708,0.38212904774074485
