galaxy_name,ra_deg,dec_deg,distance_mpc,stellar_mass_msun,effective_radius_kpc,lambda_R,V_over_sigma,ellipticity,fast_rotator_flag,fast_slow_class,T_type,KMAG_abs,source_reference
NGC1289,49.707592,-1.973354,38.4,39727385716.02703,3.387705765429101,0.178,0.172,0.393,0,S,-2.1,-23.46,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC1665,72.071098,-5.427655,37.5,46461153401.705086,5.74917762375169,0.658,0.669,0.491,1,F,-1.8,-23.63,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2481,119.307182,23.767693,32.0,36905405964.830475,1.6245176611460397,0.678,0.686,0.684,1,F,0.4,-23.38,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2549,124.743111,57.803108,12.3,15384733831.281294,1.1362648452693354,0.572,0.623,0.587,1,F,-2.0,-22.43,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2577,125.681137,22.55304,30.8,37939358820.81974,2.1092360009880897,0.696,0.874,0.471,1,F,-3.0,-23.41,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2592,126.783669,25.970339,25.0,23285736944.532867,1.4911264281535668,0.549,0.529,0.208,1,F,-4.8,-22.88,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2594,126.821609,25.878935,35.1,14424141926.87656,1.1242983552743615,0.404,0.455,0.403,1,F,0.0,-22.36,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2679,132.887192,30.865419,31.1,21831822262.464325,3.375474627759212,0.193,0.185,0.368,1,F,-2.0,-22.81,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2685,133.894791,58.734409,16.7,21236844495.80438,2.08109032420624,0.691,0.84,0.612,1,F,-1.0,-22.78,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2695,133.612778,-3.067101,31.5,46891053161.122375,2.476766202060761,0.575,0.582,0.293,1,F,-2.1,-23.64,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
