galaxy_name,v_flat_obs_km_s,model,v_pred_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,Vflat_km_s,e_Vflat,sigma_logv_obs_dex,sigma_total_dex,loglike_i
NGC3198,150.1,m3_scalar_q_only,144.30370581689195,0.9613837829239972,-0.0171032080301538,0.0171032080301538,150.1,3.9,0.011284133773635456,0.0320520151475894,2.3790880015131033
NGC3521,213.7,m3_scalar_q_only,157.72075385076522,0.7380475145098981,-0.1319156779801986,0.1319156779801986,213.7,15.9,0.0323129726825536,0.04409226920428858,-2.2729303114569945
NGC3741,50.1,m3_scalar_q_only,42.63766229946231,0.8510511437018424,-0.0700443403148411,0.0700443403148411,50.1,2.1,0.01820396031929798,0.03509108392892097,0.43871736992625876
NGC3893,174.0,m3_scalar_q_only,147.80376437087415,0.8494469216716906,-0.0708637531637142,0.0708637531637142,174.0,8.9,0.0222139131548215,0.03732904951441909,0.5671708228257777
NGC3917,135.9,m3_scalar_q_only,114.8797412095056,0.8453255423804681,-0.0729760081717541,0.0729760081717541,135.9,4.1,0.013102335362791259,0.0327363894154357,0.015659811470772222
NGC3953,220.8,m3_scalar_q_only,176.04596577780697,0.7973096276168794,-0.0983729917129389,0.0983729917129389,220.8,6.1,0.011998171827943096,0.03231030992133699,-2.1214605215896047
NGC3972,132.7,m3_scalar_q_only,103.20934035309,0.7777644337082895,-0.1091519205320868,0.1091519205320868,132.7,2.9,0.00949098717045539,0.03146551822979798,-3.4768397142953718
NGC3992,241.0,m3_scalar_q_only,204.51584427485628,0.8486134617213953,-0.0712900832164124,0.0712900832164124,241.0,5.2,0.009370669319074312,0.03142943593969578,-0.03142632509552312
NGC4088,171.7,m3_scalar_q_only,169.91764452563393,0.9896193624090504,-0.0045318161021134,0.0045318161021134,171.7,6.9,0.017452719424184263,0.034707310689526184,2.4333418253286894
NGC4100,158.2,m3_scalar_q_only,144.547268829827,0.9136995501253288,-0.0391965889200518,0.0391965889200518,158.2,5.0,0.013726121425513648,0.032991004976931894,1.7867918605820292
NGC4157,184.7,m3_scalar_q_only,169.36707425681442,0.9169847009031642,-0.0376379100974389,0.0376379100974389,184.7,7.2,0.016929725336780797,0.03444728726589131,1.8524736129733523
NGC4183,110.6,m3_scalar_q_only,106.80569445327252,0.9656934399030064,-0.0151607188107351,0.0151607188107351,110.6,5.4,0.021204251376831462,0.0367371783953512,2.299874851985876
NGC4217,181.3,m3_scalar_q_only,156.1463250657508,0.8612593770863254,-0.0648660366144451,0.0648660366144451,181.3,7.2,0.01724721604910873,0.03460442835020734,0.6879580275740045
NGC4559,121.2,m3_scalar_q_only,122.44811351916503,1.010297966329745,0.0044494787809111,0.0044494787809111,121.2,5.1,0.018274767802859603,0.035127868398871484,2.4217999213126036
NGC5005,262.2,m3_scalar_q_only,185.15810327941,0.7061712558329901,-0.151089964041656,0.151089964041656,262.2,20.7,0.03428640646604619,0.04555828868992924,-3.3294634633654883
NGC5033,194.2,m3_scalar_q_only,173.5601655333951,0.8937186690700056,-0.0487991699052831,0.0487991699052831,194.2,3.6,0.008050773093984071,0.03106147046440039,1.3187471715668955
NGC5055,179.0,m3_scalar_q_only,185.6587339798809,1.0371996311725191,0.01586235366252,0.01586235366252,179.0,4.9,0.011888508163832032,0.032269747850912946,2.393873428619034
NGC5371,209.5,m3_scalar_q_only,221.07495799103248,1.0552503961385795,0.0233555238596293,0.0233555238596293,209.5,3.9,0.008084718278867217,0.03107028596020078,2.2700386179485688
NGC5585,90.3,m3_scalar_q_only,83.18561053926412,0.921213848718318,-0.0356395418576773,0.0356395418576773,90.3,2.4,0.011542710482478452,0.03214396001245518,1.903931446279924
NGC5907,215.0,m3_scalar_q_only,196.57058550786667,0.9142817930598448,-0.0389199286542547,0.0389199286542547,215.0,2.9,0.0058579255698578145,0.030566571479019266,1.7582836030184081
NGC5985,293.6,m3_scalar_q_only,198.288727912854,0.6753703266786578,-0.1704580246049863,0.1704580246049863,293.6,8.6,0.01272115989226146,0.03258570098992013,-11.177094144266322
NGC6195,251.7,m3_scalar_q_only,231.71367938713908,0.9205946737669412,-0.0359315421080431,0.0359315421080431,251.7,9.3,0.016046637591180937,0.03402197198844742,1.9041074882272813
NGC6503,116.3,m3_scalar_q_only,103.06492681194786,0.8861988547888896,-0.0524688155312035,0.0524688155312035,116.3,2.4,0.008962224906000037,0.031310085839322245,1.1407571708899815
NGC6674,241.3,m3_scalar_q_only,209.80111347014025,0.8694617217991721,-0.0607495331291569,0.0607495331291569,241.3,4.9,0.008819075678930519,0.031269411504387216,0.658982694664886
NGC6946,158.9,m3_scalar_q_only,151.32589188903108,0.9523341213910074,-0.0212106549575449,0.0212106549575449,158.9,10.9,0.029791125567938604,0.042278968324743746,2.1186838884026553
NGC7331,239.0,m3_scalar_q_only,206.1896193237788,0.86271807248443,-0.0641311041319905,0.0641311041319905,239.0,5.4,0.009812511306600668,0.03156398862853309,0.4727333903101312
NGC7814,218.9,m3_scalar_q_only,149.48612957862187,0.6828968916337226,-0.1656448640708676,0.1656448640708676,218.9,7.0,0.013887900289277123,0.033058641448869365,-10.062709652677178
UGC00128,129.3,m3_scalar_q_only,119.67708221869216,0.9255768153031102,-0.0335875325265222,0.0335875325265222,129.3,2.8,0.009404675555522851,0.03143959163705294,1.9700953638848149
UGC00731,73.3,m3_scalar_q_only,75.852823237403,1.0348270564447886,0.0148677751962812,0.0148677751962812,73.3,2.3,0.0136272484089697,0.0329499908831515,2.3920249175415482
UGC01230,103.7,m3_scalar_q_only,112.39041032750404,1.0838033782787275,0.0349505003998663,0.0349505003998663,103.7,6.1,0.025546734229603043,0.039403497684824526,1.92158670998174
UGC01281,55.2,m3_scalar_q_only,52.02394035026435,0.9424626875047888,-0.0257358346834912,0.0257358346834912,55.2,3.5,0.027536787801836618,0.04072191894352939,2.082344737956142
UGC02487,332.0,m3_scalar_q_only,242.71289283394967,0.7310629302227403,-0.136045237170529,0.136045237170529,332.0,3.5,0.004578405682715003,0.03034735241492274,-7.472249904987236
UGC02885,289.5,m3_scalar_q_only,239.5352851107168,0.8274103112632705,-0.0822790711890728,0.0822790711890728,289.5,12.0,0.018001843809461217,0.03498666003693746,-0.3314599175224653
