galaxy_id,gass_id,sdss_id,stellar_mass_msun,hi_mass_msun,h2_mass_msun,sfr_msun_yr,radius_kpc,velocity_proxy_km_s,inclination_deg,source_xgass,source_xcold,hi_flag,co_flag,molecular_measurement_note
GASS38718,38718,J145009.95+091241.5,9314979883.297127,1306171415.8884573,453791494.79816526,0.4150824844837188,2.221015234840952,125.52056570718572,42.623659031934615,True,False,1,,xGASS_angular_momentum_linear_mass
GASS10032,10032,J145024.11+043655.2,74482830185.282,2409905259.344184,884805787.6006321,0.8215963840484619,1.2809531184723448,175.19178669969057,79.9432252152136,True,False,1,,xGASS_angular_momentum_linear_mass
GASS38729,38729,J145028.78+094750.0,75204770818.84645,5248077829.311784,486423001.7871752,0.3985090851783752,4.089046898865778,84.21931873046827,41.22317130293568,True,False,0,,xGASS_angular_momentum_linear_mass
GASS38703,38703,J145029.39+085937.7,16110774709.191982,2716439364.280244,1668428506.6457536,1.5793825387954712,1.333755948149981,160.10537708030165,40.040302949013785,True,False,1,,xGASS_angular_momentum_linear_mass
GASS38721,38721,J145123.70+093532.8,88937130669.83592,27542260421.949856,5945064673.128373,5.397873878479004,4.391257659584799,196.8722139285347,30.021473760177837,True,False,0,,xGASS_angular_momentum_linear_mass
GASS10019,10019,J145153.39+032147.7,33674704882.982967,16634115691.669123,2283573116.3035526,1.0170139074325562,5.09473902694441,185.10665902532705,66.3036631514716,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS42233,42233,J145304.36+310406.0,24933375216.36353,2540971143.2160635,582276491.3068086,0.5233383178710938,0.4010389161040005,182.5985108221587,69.92081706703301,True,False,1,,xGASS_angular_momentum_linear_mass
GASS42191,42191,J145403.73+305046.4,12401364950.325659,633869778.0693213,595380461.7417154,1.2041116952896118,1.5034065600442426,125.21109341506782,50.05893617965448,True,True,1,1.0,xGASS_angular_momentum_linear_mass
GASS38923,38923,J145758.08+110027.4,105167486927.47133,4570880290.185208,4417853538.823054,4.065545082092285,4.905955998787135,270.96226946023535,47.88503395690164,True,False,1,,xGASS_angular_momentum_linear_mass
GASS10145,10145,J145806.39+040603.6,140756569940.81592,4111500244.62355,1220748661.665588,1.0530109405517578,3.846031713652452,203.22827796936417,42.96094230310141,True,False,1,,xGASS_angular_momentum_linear_mass
