object_name,source_family,vrot_km_s,sigma_km_s,vrot_over_sigma,endpoint_overlap,proxy_only,crossmatch_role
GASS17635,xGASS_angular_momentum,208.83402318017636,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS57415,xGASS_angular_momentum,222.82152882553672,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS5442,xGASS_angular_momentum,263.83400150801685,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS17622,xGASS_angular_momentum,152.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS29624,xGASS_angular_momentum,149.5482934035891,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS34989,xGASS_angular_momentum,269.5,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS15570,xGASS_angular_momentum,179.97187416865992,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS111042,xGASS_angular_momentum,108.50796006056444,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS111035,xGASS_angular_momentum,115.24061790158656,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS12371,xGASS_angular_momentum,205.94141850942276,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS17824,xGASS_angular_momentum,161.00760235710374,,,False,True,Vrot_available_sigma_missing_proxy_only
GASS48208,xGASS_angular_momentum,163.1162848778669,,,False,True,Vrot_available_sigma_missing_proxy_only
