model_name,features,n_residual_features,rmse_logj,base_rmse_logj,rmse_improvement_vs_base,mae_logj,spearman_pred_obs,pearson_pred_obs,resid_a_rho,base_resid_a_rho,abs_resid_a_rho_reduction,repeat
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.05857231675764137,0.055800908341684996,-0.0027714084159563765,0.04711290142058166,0.9920718816067653,0.9935105715770102,-0.7168307172715475,-0.7328197100613387,0.015988992789791268,10
base_only,none,0,0.056051949585928636,0.056051949585928636,0.0,0.04504746792477089,0.9927280017496537,0.9940117584847018,-0.7731937420830497,-0.7731937420830497,0.0,11
morphology,T,1,0.0557461175364851,0.056051949585928636,0.0003058320494435385,0.045366609631355616,0.9929649340234744,0.994112275055547,-0.7741793649262562,-0.7731937420830497,-0.0009856228432064684,11
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.05730916952585722,0.056051949585928636,-0.0012572199399285833,0.04575425711509009,0.9921630094043885,0.993739102248788,-0.7544395296498183,-0.7731937420830497,0.018754212433231388,11
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05601776060452264,0.056051949585928636,3.418898140599563e-05,0.04493120175094452,0.9933476707734925,0.9940189147977605,-0.7350008569088047,-0.7731937420830497,0.03819288517424502,11
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05586242871611113,0.056051949585928636,0.00018952086981750826,0.04489502827737078,0.9926733250710796,0.994055339953133,-0.7556259275166406,-0.7731937420830497,0.0175678145664091,11
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.05653445706624702,0.056051949585928636,-0.00048250748031838236,0.045459735883737244,0.9928555806663264,0.9939235156098174,-0.754311763725699,-0.7731937420830497,0.018881978357350726,11
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.05702821369503635,0.056051949585928636,-0.0009762641091077134,0.045867405871868536,0.992472843916308,0.9938049924014882,-0.7185829356594697,-0.7731937420830497,0.05461080642357996,11
base_only,none,0,0.05610304680544813,0.05610304680544813,0.0,0.04455689539292744,0.9925092950353575,0.9940111154451966,-0.742858461242144,-0.742858461242144,0.0,12
morphology,T,1,0.05620986416531411,0.05610304680544813,-0.0001068173598659794,0.04469944618014156,0.9920718816067653,0.9940399123045467,-0.7589387154063064,-0.742858461242144,-0.016080254164162366,12
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.05661763394455428,0.05610304680544813,-0.0005145871391061541,0.044967975418304135,0.9924546183567834,0.9939052402754984,-0.7307754552754294,-0.742858461242144,0.012083005966714633,12
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05580481817092514,0.05610304680544813,0.0002982286345229873,0.044214765149055146,0.992308813880586,0.9940791361680354,-0.7170588707074748,-0.742858461242144,0.025799590534669292,12
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.0560315389078435,0.05610304680544813,7.150789760462795e-05,0.04433885805248459,0.992418167237734,0.9940332797938305,-0.72291785094209,-0.742858461242144,0.019940610300054007,12
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.057012230627245336,0.05610304680544813,-0.0009091838217972076,0.04534082521385583,0.9926733250710796,0.9938363139118691,-0.7141385067276043,-0.742858461242144,0.02871995451453979,12
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.057364890845654104,0.05610304680544813,-0.0012618440402059755,0.046617757935089765,0.9925092950353575,0.9937425781565445,-0.6901185129931685,-0.742858461242144,0.05273994824897554,12
base_only,none,0,0.056855167157873185,0.056855167157873185,0.0,0.04587945828095349,0.9915615659400743,0.9938445947865873,-0.7481698732305336,-0.7481698732305336,0.0,13
morphology,T,1,0.05732211043695788,0.056855167157873185,-0.00046694327908469724,0.04684738156651134,0.9916344681781729,0.993781906053307,-0.7637025591484703,-0.7481698732305336,-0.015532685917936662,13
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.05843458340768006,0.056855167157873185,-0.0015794162498068767,0.047391440470264806,0.9916526937376976,0.9934985306947243,-0.735311145581666,-0.7481698732305336,0.01285872764886764,13
gas_extent,f_star;log_RHI_over_Rdisk;fgas_RHI_interaction,3,0.05686301418518785,0.056855167157873185,-7.847027314662747e-06,0.04602415383122184,0.9914704381424508,0.9938381459969247,-0.7295525528588587,-0.7481698732305336,0.01861732037167496,13
newton_structure,log_v_newton;newton_angular_structure;mass_radius_compactness,3,0.05705446070297856,0.056855167157873185,-0.00019929354510537373,0.04612102221265896,0.9915068892615002,0.993807325687047,-0.7402210075228234,-0.7481698732305336,0.007948865707710251,13
compact_reservoir,D_maturity;R_reservoir;surface_reservoir_interaction;gas_drive_interaction,4,0.058052327886265714,0.056855167157873185,-0.0011971607283925295,0.04737920164185425,0.9913975359043522,0.9936071302323192,-0.7271523787129025,-0.7481698732305336,0.02101749451763113,13
all_residual,T;f_star;log_v_newton;log_RHI_over_Rdisk;D_maturity;R_reservoir;DR_interaction;fgas_RHI_interaction;gas_drive_interaction;surface_reservoir_interaction;mass_radius_compactness;newton_angular_structure,12,0.059658728954676166,0.056855167157873185,-0.002803561796802981,0.04865274541339919,0.9910330247138586,0.9932245538151075,-0.7293152732854941,-0.7481698732305336,0.018854599945039574,13
base_only,none,0,0.054143123926305846,0.054143123926305846,0.0,0.04328061537974925,0.9927826784282276,0.9944138565587298,-0.7523770225890347,-0.7523770225890347,0.0,14
morphology,T,1,0.05384003502976011,0.054143123926305846,0.00030308889654573345,0.0437001343750619,0.9929467084639497,0.9944949748963161,-0.7618499532487399,-0.7523770225890347,-0.009472930659705225,14
reservoir,D_maturity;R_reservoir;DR_interaction,3,0.05523485491927139,0.054143123926305846,-0.0010917309929655422,0.04410209238091119,0.9930196107020484,0.9941864627293405,-0.7304195359153827,-0.7523770225890347,0.02195748667365205,14
