object_name,source_family,m51_primary_score,resolved_hi_order_indicator,sfr_sfe_order_indicator,vrot_sigma_order_indicator,m54_organization_score,has_resolved_hi,has_sfr_sfe,direct_dynamic_observable_weight,model_frozen_before_endpoint_join,quality_used_as_physical_feature,trained_on_endpoint_residuals,trained_on_A_inferred,quality_quarantine_flag,proxy_level,organization_label_settled,organization_label_score
xGASS_xCOLD:GASS109082,xGASS_xCOLD,0.0,0.5,0.4225799836997553,0.2266493909424686,0.20718093583419792,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS111075,xGASS_xCOLD,0.0,0.5,0.4589069725843394,0.18253953077040536,0.2100353475939084,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS101033,xGASS_xCOLD,0.0,0.5,0.543724188889847,0.15201604456690385,0.2239464422346598,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS110036,xGASS_xCOLD,0.0,0.5,0.43851240411324066,0.08731873482223482,0.19643435430487163,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS113091,xGASS_xCOLD,0.0,0.5,0.41383150263382285,0.1510936706614842,0.19787566759291297,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS109080,xGASS_xCOLD,0.0,0.5,0.44036983309285405,0.1761741598623374,0.20569138260480455,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS44856,xGASS_xCOLD,0.0,0.5,0.46522064217883374,0.2631971310840352,0.2193638415441703,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS112100,xGASS_xCOLD,0.0,0.5,0.5934167800736924,0.053669764778623195,0.2240503324926008,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS109065,xGASS_xCOLD,0.0,0.5,0.5695232643191064,0.27472536421495125,0.24137718928531643,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS111044,xGASS_xCOLD,0.0,0.5,0.4475127512528476,0.19127808559758736,0.20863035881032826,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS124000,xGASS_xCOLD,0.0,0.5,0.5099964941584574,0.14501599992182043,0.21650089882387352,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS111054,xGASS_xCOLD,0.0,0.5,0.4083141225148603,0.16302032101978484,0.19796485660495056,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS114142,xGASS_xCOLD,0.0,0.5,0.42526273671292425,0.19342912075895308,0.20439545941848017,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS114129,xGASS_xCOLD,0.0,0.5,0.5464389402398395,0.09476064166280325,0.21876385221424824,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS110059,xGASS_xCOLD,0.0,0.5,0.5075170635911077,0.21237193770883664,0.2227406064891052,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS109102,xGASS_xCOLD,0.0,0.5,0.43033505503766234,0.19070077559329657,0.20513708856686214,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS107026,xGASS_xCOLD,0.0,0.5,0.4667101595567671,0.16529637878168765,0.2098716697895222,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS112117,xGASS_xCOLD,0.0,0.5,0.5128822242117034,0.1810527673068702,0.2206817215730277,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
xGASS_xCOLD:GASS111093,xGASS_xCOLD,0.0,0.5,0.4714280120684492,0.0431757643791011,0.19860317885159998,False,True,1.0,True,False,False,False,False,xGASS_xCOLD_SFR_SFE_proxy,0,0.5160473746917817
